Name,Title,Location,Dept,Phone,Link
"Palazuelos, Yvette M.",Judge,Stanley Mosk,028,(213) 633-0528,../../Courthouse/info/LA
"Palazzolo, Robert J.",Commissioner,Michael D. Antonovich Antelope Valley,A13, ,../../Courthouse/info/ATP
"Palmer, Charles F.",Judge,Stanley Mosk,033,(213) 633-0153,../../Courthouse/info/LA
"Park, Ann H.",Judge,Norwalk,A,(562) 345-3722,../../Courthouse/info/SE
"Pastor, Michael E.",Judge,Clara Shortridge Foltz Criminal Justice Center,110,(213) 628-7410,../../Courthouse/info/CCB
"Pearce, Michael J.",Commissioner,Downey,002,(562) 803-7012,../../Courthouse/info/DOW
"Pellman, Amy M.",Judge,Stanley Mosk,043,(213) 633-0353,../../Courthouse/info/LA
"Penny, Brenda J.",Judge,Stanley Mosk,004,(213) 633-0254,../../Courthouse/info/LA
"Perry, Robert ",Judge,Clara Shortridge Foltz Criminal Justice Center,104,(213) 628-7404,../../Courthouse/info/CCB
"Peters, Anthony Moreno",Commissioner,West Covina,006,(626) 430-2506,../../Courthouse/info/CIT
"Petraborg, Brian ",Commissioner,Downey,001,(562) 803-7010,../../Courthouse/info/DOW
"Pfahler, Stephen P.",Judge,Chatsworth,F49,(818) 407-2249,../../Courthouse/info/CHA
"Pogue, Nancy S.",Commissioner,Chatsworth,F41,(818) 407-2241,../../Courthouse/info/CHA
"Porras, Joseph R.",Judge,Norwalk,J,(562) 345-3715,../../Courthouse/info/SE
"Powell, Michael R.",Judge,Stanley Mosk,022,(213) 633-0622,../../Courthouse/info/LA
"Pratt, Catherine J.",Judge,Compton,260,(310) 761-4260,../../Courthouse/info/COM
"Priver, Laura F.",Judge,Clara Shortridge Foltz Criminal Justice Center,125,(213) 628-7425,../../Courthouse/info/CCB
"Puente-Porras, Maria ",Judge,Governor George Deukmejian - Long Beach,S15,(562) 256-1480,../../Courthouse/info/LB
"Quinones, Connie R.",Judge,Compton,L,(310) 761-4335,../../Courthouse/info/COM
"Ramirez, Daniel P.",Judge,Whittier ,201,(562) 968-2704,../../Courthouse/info/WHI
"Ramirez, Nancy A",Judge,Alfred J. McCourtney Juvenile Justice Center,428,(661) 483-5986,../../Courthouse/info/LAN
"Rappe, Curtis B.",Judge,Clara Shortridge Foltz Criminal Justice Center,103,(213) 628-7403,../../Courthouse/info/CCB
"Recana, Julian C.",Judge,Compton,008,(310) 761-4308,../../Courthouse/info/COM
"Recana, Mel Red ",Judge,Stanley Mosk,045,(213) 633-0645,../../Courthouse/info/LA
"Reinert, David K.",Judge,Torrance and Annex,003,(310) 787-3703,../../Courthouse/info/SBA
"Revel, Marsha N.",Judge,Beverly Hills,001,(310) 281-2408,../../Courthouse/info/BH
"Reyes, Dorothy B.",Judge,Clara Shortridge Foltz Criminal Justice Center,035,(213) 628-7735,../../Courthouse/info/CCB
"Rhodes, Randy ",Judge,Chatsworth,F51,(818) 407-2251,../../Courthouse/info/CHA
"Ricciardulli, Alex ",Judge,Stanley Mosk,070,(213) 633-1070,../../Courthouse/info/LA
"Rice, Stuart M.",Judge,Stanley Mosk,049,(213) 633-0649,../../Courthouse/info/LA
"Richardson, Tony L.",Judge,Stanley Mosk,070,(213) 633-1070,../../Courthouse/info/LA
"Richardson, Anne K.",Judge,Stanley Mosk,043,(213) 633-0353,../../Courthouse/info/LA
"Richman, Craig ",Judge,Clara Shortridge Foltz Criminal Justice Center,120,(213) 628-7420,../../Courthouse/info/CCB
"Rico, Richard E.",Judge,Stanley Mosk,017,(213) 633-0517,../../Courthouse/info/LA
"Riff, Lawrence P.",Judge,Stanley Mosk,077,(213) 830-0777,../../Courthouse/info/LA
"Rizk, Georgina Torres ",Judge,Spring Street,002,(213) 310-7002,../../Courthouse/info/SS
"Roberts, Gary D.",Judge,Stanley Mosk,087,(213) 830-0787,../../Courthouse/info/LA
"Rochman, Morton ",Judge,Sylmar Juvenile,279,(818) 256-1079,../../Courthouse/info/SLJ
"Rodriguez, Jesse ",Judge,Governor George Deukmejian - Long Beach,S22,(562) 256-2202,../../Courthouse/info/LB
"Rodriguez, Jose A.",Commissioner,El Monte,002,(626) 401-2202,../../Courthouse/info/ELM
"Rogers, Randolph A.",Judge,Michael D. Antonovich Antelope Valley,A15,(661) 483-5715,../../Courthouse/info/ATP
"Roman, Gregorio ",Judge,Downey,005,(562) 803-7021,../../Courthouse/info/DOW
"Romero, Richard R.",Judge,Governor George Deukmejian - Long Beach,S21,(562) 256-1512,../../Courthouse/info/LB
"Rosales, Olivia ",Judge,Norwalk,K,(562) 345-3725,../../Courthouse/info/SE
"Rose, Carol ",Judge,Bellflower,001,(562) 345-3301,../../Courthouse/info/LC
"Rosen, David A.",Judge,Chatsworth,F50,(818) 407-2250,../../Courthouse/info/CHA
"Rosenberg, Kevin S.",Judge,Clara Shortridge Foltz Criminal Justice Center,040,(213) 628-7740,../../Courthouse/info/CCB
"Rosenbloom, Jonathan L.",Judge,Chatsworth,F46,(818) 407-2246,../../Courthouse/info/CHA
"Rotenberg, Frederick ",Judge,Burbank,002,(818) 260-8402,../../Courthouse/info/BUR
"Rubin, Alan I.",Commissioner,Van Nuys - West,103,(818) 989-6803,../../Courthouse/info/LAV
"Rubinson, Thomas ",Judge,Van Nuys - West,N,(818) 989-6806,../../Courthouse/info/LAV
"Ryan, William C.",Judge,Clara Shortridge Foltz Criminal Justice Center,WRITS CENTER 1,(213) 628-7755,../../Courthouse/info/CCB
"Ryu, Tammy Chung",Judge,Compton,Q,(310) 761-4307,../../Courthouse/info/COM
"Sadler, William L.",Judge,Airport,070,(310) 725-3096,../../Courthouse/info/LAX
"Sahagun, Raul A.",Judge,Norwalk,D,(562) 345-3723,../../Courthouse/info/SE
"Saito, Tim R.",Judge,Glendale,003,(818) 265-6403,../../Courthouse/info/GLN
"Salkin, Valerie ",Judge,Van Nuys - East,C,(818) 901-4682,../../Courthouse/info/NW
"Samuels, Shellie ",Judge,Van Nuys - West,112,(818) 989-6812,../../Courthouse/info/LAV
"Sanchez, Yvonne T.",Judge,Norwalk,S,(562) 345-3707,../../Courthouse/info/SE
"Sanchez, Deborah L.",Judge,Bellflower,006,(562) 345-3306,../../Courthouse/info/LC
"Sandoval, Jose I.",Judge,Clara Shortridge Foltz Criminal Justice Center,050,(213) 628-7750,../../Courthouse/info/CCB
"Sandvig, Melvin D.",Judge,Chatsworth,F47,(818) 407-2247,../../Courthouse/info/CHA
"Sanora, Steven P.",Judge,Alhambra,002,(626) 293-2102,../../Courthouse/info/ALH
"Santana, Ray A.",Judge,Stanley Mosk,090,(213) 633-0690,../../Courthouse/info/LA
"Santos, Maria May J.",Commissioner,Whittier ,123,(562) 968-2702,../../Courthouse/info/WHI
"Sauceda, A. Ver¿nica",Commissioner,Compton,N,(310) 761-4316,../../Courthouse/info/COM
"Scaduto, Lynn H.",Judge,Stanley Mosk,013,(213) 633-0513,../../Courthouse/info/LA
"Scheper, Barbara M.",Judge,Stanley Mosk,030,(213) 633-0150,../../Courthouse/info/LA
"Schneider, Alan ",Judge,Van Nuys - West,120,(818) 989-6820,../../Courthouse/info/LAV
"Schuit, Robert J.",Judge,Santa Clarita,003,(661) 253-5603,../../Courthouse/info/NEW
"Schwartz, Keith L.",Judge,Airport,030,(310) 725-3040,../../Courthouse/info/LAX
"Schwartz, Teri ",Judge,Pasadena,E,(626) 396-3313,../../Courthouse/info/PAS
"See, Ramona G.",Judge,Torrance and Annex,G,(310) 787-3714,../../Courthouse/info/SBA
"Segall, Wendy ",Judge,Metropolitan,064,(213) 745-1864,../../Courthouse/info/MET
"Seigle, Laura A.",Judge,Spring Street,007,(213) 310-7007,../../Courthouse/info/SS
"Seng, Jana M.",Judge,Edmund D. Edelman Children's Court,420,(323) 307-8020,../../Courthouse/info/CCJ
"Sepe-Wiesenfeld, Lisa K.",Judge,Santa Monica,S,(310) 255-1847,../../Courthouse/info/SM
"Serio, Collette ",Commissioner,Pasadena,O,(626) 396-3326,../../Courthouse/info/PAS
"Serna, Robert ",Judge,West Covina,010,(626) 430-2510,../../Courthouse/info/CIT
"Shaller, Frederick C.",Judge,Stanley Mosk,046,(213) 633-0646,../../Courthouse/info/LA
"Shapiro, Norm ",Judge,Clara Shortridge Foltz Criminal Justice Center,116,(213) 628-7416,../../Courthouse/info/CCB
"Shibata, Phyllis ",Commissioner,Pomona,282,(909) 802-1182,../../Courthouse/info/EA
"Short, Michelle S.",Judge,Chatsworth,F48,(818) 407-2248,../../Courthouse/info/CHA
"Shubin, Dorothy L.",Judge,Pasadena,B,(626) 396-3312,../../Courthouse/info/PAS
"Shultz, Michael ",Judge,Compton,D,(310) 761-4323,../../Courthouse/info/COM
"Silberman, Harvey A.",Judge,Pasadena,L,(626) 396-3315,../../Courthouse/info/PAS
"Silverman, B. Scott ",Judge,Stanley Mosk,018,(213) 633-0518,../../Courthouse/info/LA
"Sinanian, Zaven V.",Judge,Spring Street,STL,(213) 310-7092,../../Courthouse/info/SS
"Sirna, Salvatore ",Judge,Pomona,A,(909) 802-1102,../../Courthouse/info/EA
"Skeba, Valerie L.",Commissioner,Michael D. Antonovich Antelope Valley,A10, ,../../Courthouse/info/ATP
"Slawson, John A.",Judge,Pomona,K,(909) 802-1125,../../Courthouse/info/EA
"Small, Michael C.",Judge,Stanley Mosk,005,(213) 633-0245,../../Courthouse/info/LA
"Smerling, Terry ",Judge,Pasadena,D,(626) 396-3303,../../Courthouse/info/PAS
"Smith, Spurgeon E.",Judge,East Los Angeles,007,(323) 780-2015,../../Courthouse/info/ELA
"Smith, J. Christopher ",Judge,Inglewood Juvenile,242,(310) 412-8342,../../Courthouse/info/IGJ
"Sokolov, Thomas R.",Judge,Torrance and Annex,004,(310) 787-3704,../../Courthouse/info/SBA
"Solorzano, Kathryn A.",Judge,Airport,083,(310) 725-3091,../../Courthouse/info/LAX
"Sortino, Douglas ",Judge,Clara Shortridge Foltz Criminal Justice Center,124,(213) 628-7424,../../Courthouse/info/CCB
"Sotelo, David ",Judge,Stanley Mosk,040,(213) 633-0160,../../Courthouse/info/LA
"Soto, Philip L.",Judge,Edmund D. Edelman Children's Court,408,(323) 307-8008,../../Courthouse/info/CCJ
"Speer, Susan M.",Judge,Van Nuys - West,V,(818) 989-6818,../../Courthouse/info/LAV
"St. George, Matthew ",Commissioner,Santa Monica,E,(310) 255-1853,../../Courthouse/info/SM
"Stennis, Kevin ",Judge,Clara Shortridge Foltz Criminal Justice Center,043,(213) 628-7743,../../Courthouse/info/CCB
"Sterling, William N.",Judge,Clara Shortridge Foltz Criminal Justice Center,119,(213) 628-7249,../../Courthouse/info/CCB
"Stern, Michael L.",Judge,Stanley Mosk,062,(213) 633-1062,../../Courthouse/info/LA
"Stern, Douglas W.",Judge,Governor George Deukmejian - Long Beach,S13,(562) 256-1465,../../Courthouse/info/LB
"Stewart, William D.",Judge,Burbank,A,(818) 260-8412,../../Courthouse/info/BUR
"Stone, Natalie P.",Judge,Edmund D. Edelman Children's Court,409,(323) 307-8009,../../Courthouse/info/CCJ
"Strassner, Lisa M.",Commissioner,Michael D. Antonovich Antelope Valley,A08, ,../../Courthouse/info/ATP
"Streimer, Laura ",Commissioner,Central Civil West,002H,(213) 351-7534,../../Courthouse/info/CCW
"Strobel, Mary H.",Judge,Stanley Mosk,082,(213) 830-0782,../../Courthouse/info/LA
"Stuart, David W.",Judge,San Fernando,I,(818) 256-1804,../../Courthouse/info/LAS
"Sullivan, Teresa ",Judge,Clara Shortridge Foltz Criminal Justice Center,030,(213) 628-7730,../../Courthouse/info/CCB
"Suzuki, Paul T.",Judge,Stanley Mosk,079,(213) 633-1079,../../Courthouse/info/LA
"Swain, Leslie A.",Judge,Clara Shortridge Foltz Criminal Justice Center,131,(213) 628-7431,../../Courthouse/info/CCB
"Sztraicher, Gustavo N.",Judge,Clara Shortridge Foltz Criminal Justice Center,037,(213) 628-7737,../../Courthouse/info/CCB
"Takasugi, Jon R.",Judge,Stanley Mosk,094,(213) 830-0794,../../Courthouse/info/LA
"Tamzarian, Armen ",Judge,Alhambra,003,(626) 293-2103,../../Courthouse/info/ALH
"Tanaka, Gary Y.",Judge,Torrance and Annex,A,(310) 787-3712,../../Courthouse/info/SBA
"Tapia, Sergio C.",Judge,Clara Shortridge Foltz Criminal Justice Center,123,(213) 628-7423,../../Courthouse/info/CCB
"Tarle, Norman P.",Judge,Santa Monica,J,(310) 255-1855,../../Courthouse/info/SM
"Tavelman, Frank M.",Judge,Van Nuys - West,100,(818) 989-6800,../../Courthouse/info/LAV
"Taylor, Eric C.",Judge,Stanley Mosk,APJ,(213) 633-0300,../../Courthouse/info/LA
"Taylor, Chet L.",Judge,Governor George Deukmejian - Long Beach,S11,(562) 256-1470,../../Courthouse/info/LB
"Taylor, Kenneth H.",Commissioner,Metropolitan,060,(213) 745-1860,../../Courthouse/info/MET
"Terrell, Michael ",Judge,San Fernando,D,(818) 256-1803,../../Courthouse/info/LAS
"Thomas, Holly A.",Judge,Stanley Mosk,002B,(213) 633-0632,../../Courthouse/info/LA
"Thompson, Andrea C.",Judge,Van Nuys - West,105,(818) 989-6805,../../Courthouse/info/LAV
"Tillmon, Bobbi ",Judge,Santa Monica,G,(310) 255-1844,../../Courthouse/info/SM
"Titus, Patricia J.",Judge,Inglewood,006,(310) 419-1306,../../Courthouse/info/ING
"Torrealba, Shelly ",Judge,East Los Angeles,001,(323) 780-2001,../../Courthouse/info/ELA
"Torribio, John A.",Judge,Norwalk,G,(562) 345-3704,../../Courthouse/info/SE
"Totten, Robert ",Commissioner,Eastlake Juvenile,201,(323) 227-4301,../../Courthouse/info/ELJ
"Townsend, Susan J.",Judge,West Covina,011,(626) 430-2511,../../Courthouse/info/CIT
"Traber, Theresa M.",Judge,Pasadena,K,(626) 396-3355,../../Courthouse/info/PAS
"Trendacosta, Anthony A.",Judge,Edmund D. Edelman Children's Court,400,(323) 307-8030,../../Courthouse/info/CCJ
"Treu, Rolf M.",Judge,Whittier ,302,(562) 968-2707,../../Courthouse/info/WHI
"Truong, Terry T.",Commissioner,Bellflower,003,(562) 345-3303,../../Courthouse/info/LC
"Tsao, Lee W.",Judge,Norwalk,M,(562) 345-3706,../../Courthouse/info/SE
"Tynan, Michael A.",Judge,Clara Shortridge Foltz Criminal Justice Center,042,(213) 628-7742,../../Courthouse/info/CCB
"Ulfig, Cynthia L.",Judge,San Fernando,F,(818) 256-1813,../../Courthouse/info/LAS
"Usher, Pamela Tamu",Judge,San Fernando,B,(818) 256-1812,../../Courthouse/info/LAS
"Uzcategui, Jessica A.",Judge,Alfred J. McCourtney Juvenile Justice Center,427,(661) 483-5927,../../Courthouse/info/LAN
"Vanderet, Robert C.",Judge,Clara Shortridge Foltz Criminal Justice Center,031,(213) 628-7731,../../Courthouse/info/CCB
"Vazquez, Carlos E.",Judge,Glendale,001,(818) 265-6401,../../Courthouse/info/GLN
"Veals, Craig E.",Judge,Clara Shortridge Foltz Criminal Justice Center,122,(213) 628-7422,../../Courthouse/info/CCB
"Veasey, Glenda ",Commissioner,Torrance and Annex,J,(310) 787-3715,../../Courthouse/info/SBA
"Vega Jacobs, Lillian ",Judge,Bellflower,004,(562) 345-3304,../../Courthouse/info/LC
"Verastegui, Yvette ",Judge,Airport,031,(310) 725-3041,../../Courthouse/info/LAX
"Vicencia, Michael P.",Judge,Governor George Deukmejian - Long Beach,S26,(562) 256-2222,../../Courthouse/info/LB
"Villalobos, Michael ",Judge,Alhambra,001,(626) 293-2101,../../Courthouse/info/ALH
"Villar, Mary Lou ",Judge,Clara Shortridge Foltz Criminal Justice Center,041,(213) 628-7741,../../Courthouse/info/CCB
"Villegas, Angela  ",Commissioner,Central Civil West,002E,(213) 351-7533,../../Courthouse/info/CCW
"Villeza, Rob B.",Judge,El Monte,001,(626) 401-2201,../../Courthouse/info/ELM
"Viramontes, Victor G.",Judge,Edmund D. Edelman Children's Court,425,(323) 307-8083,../../Courthouse/info/CCJ
"Wada, Robert S.",Judge,Stanley Mosk,099,(213) 830-0829,../../Courthouse/info/LA
"Walgren, David ",Judge,San Fernando,G,(818) 256-1814,../../Courthouse/info/LAS
"Wallenstein, Joel M.",Judge,Compton,010,(310) 761-4310,../../Courthouse/info/COM
"Walmark, Richard F.",Judge,Van Nuys - East,P,(818) 901-4607,../../Courthouse/info/NW
"Walton, Laura ",Judge,Compton,G,(310) 761-4314,../../Courthouse/info/COM
"Wapner, Frederick N.",Judge,Clara Shortridge Foltz Criminal Justice Center,114,(213) 628-7414,../../Courthouse/info/CCB
"Wasserman, Fumiko ",Judge,Los Padrinos Juvenile,251,(562) 658-0751,../../Courthouse/info/LPJ
"Watkins, Shirley K.",Judge,Van Nuys - East,T,(818) 901-4612,../../Courthouse/info/NW
"Wayser, Joshua D.",Judge,Stanley Mosk,027,(213) 633-1027,../../Courthouse/info/LA
"Webster, Allen J.",Judge,Compton,E,(310) 761-4333,../../Courthouse/info/COM
"Weiner, Timothy M.",Judge,Clara Shortridge Foltz Criminal Justice Center,048,(213) 628-7748,../../Courthouse/info/CCB
"Weingart , Gregory  J. ",Judge,Stanley Mosk,065,(213) 633-1065,../../Courthouse/info/LA
"Weintraub, Debre Katz",Judge,Stanley Mosk,076,(213) 830-0776,../../Courthouse/info/LA
"Weis Birnstein, Lauren ",Judge,Airport,082,(310) 725-3042,../../Courthouse/info/LAX
"Weiss, Susan K.",Commissioner,Chatsworth,F40,(818) 407-2240,../../Courthouse/info/CHA
"Whitaker, Michael E.",Judge,Edmund D. Edelman Children's Court,417,(323) 307-8017,../../Courthouse/info/CCJ
"White, Kerry L.",Judge,East Los Angeles,005,(323) 780-2009,../../Courthouse/info/ELA
"White, Elizabeth Allen ",Judge,Stanley Mosk,048,(213) 633-0648,../../Courthouse/info/LA
"White-Brown, Gloria ",Judge,West Covina,002,(626) 430-2582,../../Courthouse/info/CIT
"Widdifield, Melissa N.",Judge,Compton,261,(310) 761-4261,../../Courthouse/info/COM
"Wiese, Stacy ",Judge,West Covina,004,(626) 430-2504,../../Courthouse/info/CIT
"Willett, William G.",Judge,Torrance and Annex,011,(310) 787-3711,../../Courthouse/info/SBA
"Wilson , Victoria  B.",Judge,Clara Shortridge Foltz Criminal Justice Center,051,(213) 628-7751,../../Courthouse/info/CCB
"Windham, Mark E.",Judge,Airport,081,(310) 725-3090,../../Courthouse/info/LAX
"Wright, Victor L.",Judge,Inglewood,002,(310) 419-1302,../../Courthouse/info/ING
"Yaroslavsky, David ",Judge,Van Nuys - West,102,(818) 989-6802,../../Courthouse/info/LAV
"Yep, Brian C.",Judge,Michael D. Antonovich Antelope Valley,A14,(661) 483-5774,../../Courthouse/info/ATP
"Yerkey, Amy ",Judge,Governor George Deukmejian - Long Beach,S02,(562) 256-1415,../../Courthouse/info/LB
"Young, Mark A.",Judge,Santa Monica,M,(310) 255-1846,../../Courthouse/info/SM
"Yriarte, Geanene M.",Judge,Pomona,281, ,../../Courthouse/info/EA
"Zacky, Hayden ",Judge,San Fernando,N,(818) 256-1806,../../Courthouse/info/LAS
"Zeidler, Daniel Zeke",Judge,Edmund D. Edelman Children's Court,404,(323) 307-8004,../../Courthouse/info/CCJ
"Zuckman, Mark T.",Commissioner,Airport,092,(310) 725-3046,../../Courthouse/info/LAX
"Zukin, Helen ",Judge,Stanley Mosk,084,(213) 830-0784,../../Courthouse/info/LA
"Zuzga, Cynthia A.",Commissioner,East Los Angeles,003,(323) 780-2005,../../Courthouse/info/ELA
